Pokémon,PS,Ataque,Defensa,Ataqueesp.,Defensaesp.,Velocidad
Tauros,75,100,95,40,70,110
Magikarp,20,10,55,15,20,80
Gyarados,95,125,79,60,100,81
MegaGyarados,95,155,109,70,130,81
Lapras,130,85,80,85,95,60
Ditto,48,48,48,48,48,48
Eevee,55,55,50,45,65,55
Vaporeon,130,65,60,110,95,65
Jolteon,65,65,60,110,95,130
Flareon,65,130,60,95,110,65
Porygon,65,60,70,85,75,40
Omanyte,35,40,100,90,55,35
Omastar,70,60,125,115,70,55
Kabuto,30,80,90,55,45,55
Kabutops,60,115,105,65,70,80
Aerodactyl,80,105,65,60,75,130
MegaAerodactyl,80,135,85,70,95,150
Snorlax,160,110,65,65,110,30
Articuno,90,85,100,95,125,85
Zapdos,90,90,85,125,90,100
Moltres,90,100,90,125,85,90
Dratini,41,64,45,50,50,50
Dragonair,61,84,65,70,70,70
Dragonite,91,134,95,100,100,80
Mewtwo,106,110,90,154,90,130
MegaMewtwoX,106,190,100,154,100,130
MegaMewtwoY,106,150,70,194,120,140
Mew,100,100,100,100,100,100
